Lab Name,Sectors,Location,Institution
Biomolecular EPR Spectroscopy Centre / Structural Neurobiology Lab,"Education, Life sciences, pharmaceuticals and medical equipment","1 King’s College Circle, Medical Sciences Building, Toronto, ON, M5S 1A8, Canada",University of Toronto
Bionanocorrosion Lab,"Automotive, Construction (including building, civil engineering, specialty trades), Energy, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Transportation","1151 Richmond Street, London, ON, N6A 5B7, Canada",Western University (The University of Western Ontario)
Biophysics and Evolutionary Dynamics Laboratory,"Education, Life sciences, pharmaceuticals and medical equipment","60 St. George Street, Toronto, ON, M5S 1A7, Canada",University of Toronto
Biostatistics Unit,"Education, Healthcare and social services","50 Charlton Avenue East, Hamilton, ON, L8N 4A6, Canada",St. Joseph's Healthcare Hamilton
Biotechnology Research and Innovation Hub (BioHub),"Agriculture, animal science and food, Chemical industries, Clean technology, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","299 Doon Valley Drive, Kitchener, ON, N2G 4M4, Canada",Conestoga College Institute of Technology and Advanced Learning
Bloorview Research Institute,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","150 Kilgour Road, Toronto, ON, M4G 1R8, Canada",Holland Bloorview Kids Rehabilitation Hospital
Brain Health Imaging Centre,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","250 College Street, Toronto, ON, M5T 1R8, Canada",Centre for Addiction and Mental Health (CAMH)
Brian Cox Laboratory,"Agriculture, animal science and food, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","1 King’s College Circle, Toronto, ON, M5S 1A8, Canada",University of Toronto
Brockhouse Institute for Materials Research (BIMR) Research Facilities,"Automotive, Chemical industries, Education, Energy, Life sciences, pharmaceuticals and medical equipment","1280 Main St. W., Hamilton, ON, L8S 4M1, Canada",McMaster University
Business Analytics and AI Research Group,"Consumer durables, Consumer non-durables, Financial services and insurance, Healthcare and social services, Information and communication technologies and media, Management and business related services","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Canadian Centre for Electron Microscopy (CCEM),"Aerospace and satellites, Automotive, Chemical industries, Clean technology, Defence and security industries, Energy, Environmental technologies and related services, Information and communication technologies and media, Manufacturing and processing, Mining, minerals and metals","1280 Main Street West, Hamilton, ON, L8S 4M1, Canada",McMaster University
Canadian Centre for Field Robotics (CCFR),"Defence and security industries, Energy, Forestry and forest-based industries, Mining, minerals and metals, Utilities","4700 Keele Street, Toronto, ON, M3J 1P3, Canada",York University
Canadian Centre for Housing Technology,"Automotive, Clean technology, Construction (including building, civil engineering, specialty trades), Consumer durables, Energy, Environmental technologies and related services, Information and communication technologies and media, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering), Utilities","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
Canadian Certified Reference Material Project (CCRMP) – CanmetMINING,"Energy, Environmental technologies and related services, Mining, minerals and metals","555 Booth Street, Ottawa, ON, K1A 0G1, Canada",Natural Resources Canada
Canadian Conservation Institute,Arts and cultural industries,"1030 Innes Road, Ottawa, ON, K1B 4S7, Canada",Canadian Conservation Institute
Canadian Institute of Theoretical Astrophysics,Aerospace and satellites,"McLennan Physical Laboratories, 60 St. George Street, Toronto, ON, M5R 2M8, Canada",University of Toronto
Canadian Neutron and Positron Beam Laboratory,"Education, Energy, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","1280 Main Street W, Hamilton, ON, L8S 4M1, Canada",McMaster University
Canadian Nutrient File SNAP-CAN Reference Laboratory,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","Frederick G Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada
Canadian Photonics Fabrication Centre,"Information and communication technologies and media, Manufacturing and processing","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
Canadian Surgical Technologies & Advanced Robotics (CSTAR),,"339 Windermere Road, London, ON, N6A 5A5, Canada",Western University (The University of Western Ontario)
Capillary Electrophoresis Chromatographic Separation - Centre for Biologics Evaluation,"Life sciences, pharmaceuticals and medical equipment","Frederick G Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada
Carleton EXO-experiment Ion Trap Laboratory,Education,"Physics Department, Herzberg Laboratory, 1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Carleton Facility for the Study of Plant Metabolism and Development,"Agriculture, animal science and food, Chemical industries, Education, Energy, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment","Nesbitt Biology Building, 1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Castroverde Lab (Plant Immunity and Stress Biology),"Agriculture, animal science and food, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","75 University Ave W, Waterloo, ON, N2L 3C5, Canada",Wilfrid Laurier University
Cell Biology and Image Acquisition (CBIA) Core Facility,"Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa
Cell Therapy Manufacturing Facility,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","501 Smyth Road, Ottawa, ON, K1H 8L6, Canada",The Ottawa Hospital
Cellular Imaging and Cytometry Facility (CICF),"Agriculture, animal science and food, Chemical industries, Education, Environmental technologies and related services, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment","Biosciences Building, 30 Marie-Curie Private, Ottawa, ON, K1N 9N3, Canada",University of Ottawa
Center for Advanced Diffusion-Wave and Photoacoustic Technologies (CADIPT),"Automotive, Clean technology, Energy, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","5 King’s College Road, Toronto, ON, M5S 3G8, Canada",University of Toronto
Centre for Advanced Coating Technologies (CACT),"Aerospace and satellites, Automotive, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Environmental technologies and related services, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Transportation","Bahen Building, 40 St. George Street, Toronto, ON, M5S 2E4, Canada",University of Toronto
Centre for Advanced Light Microscopy (CALM),"Aerospace and satellites, Agriculture, animal science and food, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Environmental technologies and related services, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Professional and technical services (including legal services, architecture, engineering)","1280 Main Street West, Hamilton, ON, L8S 4M1, Canada",McMaster University
Centre for Advanced Materials Joining,"Aerospace and satellites, Automotive, Defence and security industries","200 University Ave W, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Centre for Advancement of Water and Wastewater Technologies (CAWT),"Chemical industries, Clean technology, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Mining, minerals and metals, Utilities","200 Albert Street South, Lindsay, ON, K9V 5E6, Canada",Fleming College (Sir Sandford Fleming College)
Centre for Air Travel Research (CATR),"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Environmental technologies and related services, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Tourism and hospitality, Transportation","1950 Research Private, Ottawa, ON, K1V 1J8, Canada",National Research Council Canada
Centre for Applied AI (CAAI),"Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","1430 Trafalgar Road, Oakville, ON, L6H 2L1, Canada",Sheridan College Institute of Technology and Advanced Learning
Centre for Biocomposites and Biomaterials Processing (CBBP),"Agriculture, animal science and food, Automotive, Construction (including building, civil engineering, specialty trades), Education, Forestry and forest-based industries, Manufacturing and processing","33 Willcocks Street, Toronto, ON, M5S 3B3, Canada",University of Toronto
Centre for Biodiversity Genomics,"Agriculture, animal science and food, Education, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Ocean industries, Policy and governance","50 Stone Road East, Guelph, ON, N1G 2W1, Canada",University of Guelph
Centre for Biofouling Control,"Agriculture, animal science and food, Clean technology, Environmental technologies and related services, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment","80 St George Street, Toronto, ON, M5S 3H6, Canada",University of Toronto
Centre for Biological Timing and Cognition (CBTC),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","325 Huron Street, Toronto, ON, M5S 3G3, Canada",University of Toronto
Centre for Cell and Vector Production (CCVP),"Chemical industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","661 University Avenue, Toronto, ON, M5G 1M1, Canada",University Health Network
Centre for Cold Regions and Water Science,"Agriculture, animal science and food, Chemical industries, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Ocean industries","Wilfrid Laurier University, Waterloo, ON, N2L 3C5, Canada",Wilfrid Laurier University
Centre for Collaborative Interactive Digital Media/Dynamic Graphics Project,"Arts and cultural industries, Information and communication technologies and media","40 St. George Street, Toronto, ON, M5S 2E4, Canada",University of Toronto
Centre for Connected Building Technologies (CCBT),"Automotive, Clean technology, Construction (including building, civil engineering, specialty trades), Environmental technologies and related services, Manufacturing and processing","1001 Fanshawe College Blvd., London, ON, N5Y 5R6, Canada",Fanshawe College
Centre for Flow Cytometry and Microscopy,"Fisheries and aquaculture, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Ocean industries","M7-301, 2075 Bayview Avenue, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre
Centre for Functional and Metabolic Mapping (CFMM),"Agriculture, animal science and food, Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","1151 Richmond Street North, London, ON, N6A 5B7, Canada",Western University (The University of Western Ontario)
Centre for Innovative Aquaculture Production (CIAP),Fisheries and aquaculture,"200 Albert Street South, Lindsay, ON, K9V 5E6, Canada",Fleming College (Sir Sandford Fleming College)
Centre for Integrated and Advanced Medical Imaging (CIAMI),"Education, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Professional and technical services (including legal services, architecture, engineering)","1400 Main Street West, Hamilton, ON, L8S 1C7, Canada",McMaster University
Centre for Intelligent Antenna and Radio Systems (CIARS),"Automotive, Information and communication technologies and media","200 University Avenue West, Waterloo, ON, N2L3G1, Canada",University of Waterloo
Centre for Intelligent Manufacturing (CIM),"Clean technology, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Transportation","7899 McLaughlin Road, Brampton, ON, L6Y 5H9, Canada",Sheridan College Institute of Technology and Advanced Learning
"Centre for Learning, Social Economy and Work","Education, Information and communication technologies and media","Ontario Institute for Studies in Education, 252 Bloor St. West, Toronto, ON, M5S 1V6, Canada",University of Toronto
Centre for Mental Health Research and Treatment,Healthcare and social services,"200 University Avenue West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Centre for Natural Products (CNP),"Agriculture, animal science and food, Chemical industries, Consumer non-durables, Life sciences, pharmaceuticals and medical equipment, Tourism and hospitality","376 Wallbridge-Loyalist Road, Belleville, ON, K8N 5B9, Canada",Loyalist College
Centre for Neuroscience Studies,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","18, Stuart Street, Kingston, ON, K7L3N6, Canada",Queen's University
Centre for Nutrition Policy and Implementation Science Research (Arcand Lab),"Education, Healthcare and social services, Policy and governance","2000 Simcoe Street, Oshawa, ON, L1H 7K4, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Centre for Pharmaceutical Oncology,"Life sciences, pharmaceuticals and medical equipment","Leslie Dan Faculty of Pharmacy, 144 College St., Toronto, ON, M5S 3M2, Canada",University of Toronto
Centre for Research and Applications in Fluidic Technologies (CRAFT),"Automotive, Chemical industries, Defence and security industries, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","5 King’s College Road, Toronto, ON, M5S 3G8, Canada",University of Toronto
Centre for the Neurobiology of Stress (CNS),"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","1265 Military Trail, Toronto, ON, M1C 1A4, Canada",University of Toronto
Centre for the Spectroscopic Investigation of Complex Organic Molecules and Polymers; CSICOMP NMR Facility,"Chemical industries, Clean technology, Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Ocean industries","Lash Miller Labs, 80 St George Street, Toronto, ON, M5S 3H6, Canada",University of Toronto
Centre for Theoretical Neuroscience,"Healthcare and social services, Information and communication technologies and media","200 University Ave West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Centre for Vision Research,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","4700 Keele Street, Toronto, ON, M3J 1P3, Canada",York University
"Centre on Hate, Bias and Extremism","Defence and security industries, Education, Healthcare and social services, Information and communication technologies and media, Policy and governance","55 Bond Street East, Oshawa, ON, L1G 1B2, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Child and Family Mobile and Fixed Observation Laboratories,"Education, Healthcare and social services","Ontario Institute for Studies in Education, 252 Bloor St. W., Toronto, ON, M5S 1V6, Canada",University of Toronto
Clean Combustion Engine Laboratory (CCEL),"Automotive, Clean technology, Education, Energy, Environmental technologies and related services, Transportation","754 California Ave., Windsor, ON, N9B 2Z2, Canada",University of Windsor
Clean Energy Research Laboratory (CERL),"Aerospace and satellites, Automotive, Chemical industries, Clean technology, Construction (including building, civil engineering, specialty trades), Education, Energy, Environmental technologies and related services, Transportation, Utilities","90 Simcoe Street N, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Climate and Ecosystem Dynamics Research Laboratory (CEDaR),"Arts and cultural industries, Environmental technologies and related services, Forestry and forest-based industries, Policy and governance","50 Stone Rd. East, Guelph, ON, N1G 2W1, Canada",University of Guelph
Climatic Testing Facility,"Automotive, Defence and security industries, Transportation","2320 Lester Road, Ottawa, ON, K1V 1S2, Canada",National Research Council Canada
Clinical Research Centre (CRC),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","555 University Avenue, Toronto, ON, M5G 1X8, Canada",The Hospital for Sick Children
Coastal and River Engineering Facilities,"Defence and security industries, Ocean industries, Professional and technical services (including legal services, architecture, engineering), Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
Colibrì Telescope Array,"Aerospace and satellites, Education","Elginfield Observatory, Granton, ON, N0M 1V0, Canada",Western University (The University of Western Ontario)
Communications Research Centre Canada,"Defence and security industries, Environmental technologies and related services, Healthcare and social services, Information and communication technologies and media","3701 Carling Avenue, Ottawa, ON, K2K 2Y7, Canada",Communications Research Centre Canada
Community Research Platform (CRP),"Arts and cultural industries, Healthcare and social services, Policy and governance","1280 Main Street West, Hamilton, ON, L8S 4L8, Canada",McMaster University
Computational Affective Neuroscience Lab,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","Sidney Smith Hall, Toronto, ON, M5S 3G3, Canada",University of Toronto
Conestoga Food Research and Innovation Lab (CFRIL),"Agriculture, animal science and food, Manufacturing and processing","850 Fountain Street South, Cambridge, ON, N3H 0A8, Canada",Conestoga College Institute of Technology and Advanced Learning
Conjugated Materials and Organic Electronics,"Chemical industries, Clean technology, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","Department of Chemistry and Biochemistry, Windsor, ON, N9B 3P4, Canada",University of Windsor
Controlled Environment Systems Research Facility (CESRF),"Aerospace and satellites, Agriculture, animal science and food, Education, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","E.C. Bovey Building, Bldg 82, South Ring Road, Guelph, ON, N1G 2W1, Canada",University of Guelph
Cool Climate Oenology and Viticulture Institute (CCOVI),"Agriculture, animal science and food","500 Glenridge Avenue, St. Catharines, ON, L2S 3A1, Canada",Brock University
Core Molecular Biology and Genomics Laboratory,"Environmental technologies and related services, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment","20 Marie Curie, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Critical Health and Social Action Lab (CHSA Lab),"Arts and cultural industries, Education, Healthcare and social services, Policy and governance","252 Bloor Street West, Toronto, ON, M5S 1V6, Canada",University of Toronto
Critical Media Lab,"Arts and cultural industries, Information and communication technologies and media","44 Gaukel Street, Kitchener, ON, N2G 4P3, Canada",University of Waterloo
Cyber Science Lab (CSL),"Agriculture, animal science and food, Automotive, Defence and security industries, Education, Financial services and insurance, Healthcare and social services, Information and communication technologies and media, Manufacturing and processing, Policy and governance, Professional and technical services (including legal services, architecture, engineering)","150 Research Lane, Guelph, ON, N1G 4T2, Canada",University of Guelph
Data Science Laboratory,"Aerospace and satellites, Defence and security industries, Energy, Environmental technologies and related services, Financial services and insurance, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","Eric Palin Hall, 232, Toronto, ON, M5B 2K3, Canada",Toronto Metropolitan University
Decision Analytics for Computational Engineering,"Aerospace and satellites, Automotive, Environmental technologies and related services, Manufacturing and processing","4925 Dufferin Street, Toronto, ON, M3H 5T6, Canada",University of Toronto
