Lab Name,Sectors,Location,Institution,Latitude,Longitude
Clinical Research Centre (CRC),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","555 University Avenue, Toronto, ON, M5G 1X8, Canada",The Hospital for Sick Children,43.6570007,-79.3889907
Coastal and River Engineering Facilities,"Defence and security industries, Ocean industries, Professional and technical services (including legal services, architecture, engineering), Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada,45.4460011,-75.6195559
Colibrì Telescope Array,"Aerospace and satellites, Education","Elginfield Observatory, Granton, ON, N0M 1V0, Canada",Western University (The University of Western Ontario),43.19235159999999,-81.3158474
Communications Research Centre Canada,"Defence and security industries, Environmental technologies and related services, Healthcare and social services, Information and communication technologies and media","3701 Carling Avenue, Ottawa, ON, K2K 2Y7, Canada",Communications Research Centre Canada,45.3458335,-75.8846496
Community Research Platform (CRP),"Arts and cultural industries, Healthcare and social services, Policy and governance","1280 Main Street West, Hamilton, ON, L8S 4L8, Canada",McMaster University,43.2613739,-79.9210947
Computational Affective Neuroscience Lab,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","Sidney Smith Hall, Toronto, ON, M5S 3G3, Canada",University of Toronto,43.662523,-79.39854249999999
Conestoga Food Research and Innovation Lab (CFRIL),"Agriculture, animal science and food, Manufacturing and processing","850 Fountain Street South, Cambridge, ON, N3H 0A8, Canada",Conestoga College Institute of Technology and Advanced Learning,43.3870296,-80.3973333
Conjugated Materials and Organic Electronics,"Chemical industries, Clean technology, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","Department of Chemistry and Biochemistry, Windsor, ON, N9B 3P4, Canada",University of Windsor,42.3053658,-83.066339
Controlled Environment Systems Research Facility (CESRF),"Aerospace and satellites, Agriculture, animal science and food, Education, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","E.C. Bovey Building, Bldg 82, South Ring Road, Guelph, ON, N1G 2W1, Canada",University of Guelph,43.5299913,-80.223383
Cool Climate Oenology and Viticulture Institute (CCOVI),"Agriculture, animal science and food","500 Glenridge Avenue, St. Catharines, ON, L2S 3A1, Canada",Brock University,43.1186437,-79.2482463
Core Molecular Biology and Genomics Laboratory,"Environmental technologies and related services, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment","20 Marie Curie, Ottawa, ON, K1N 6N5, Canada",University of Ottawa,45.4211174,-75.6820898
Critical Health and Social Action Lab (CHSA Lab),"Arts and cultural industries, Education, Healthcare and social services, Policy and governance","252 Bloor Street West, Toronto, ON, M5S 1V6, Canada",University of Toronto,43.668313,-79.3990818
Critical Media Lab,"Arts and cultural industries, Information and communication technologies and media","44 Gaukel Street, Kitchener, ON, N2G 4P3, Canada",University of Waterloo,43.449939,-80.4934657
Cyber Science Lab (CSL),"Agriculture, animal science and food, Automotive, Defence and security industries, Education, Financial services and insurance, Healthcare and social services, Information and communication technologies and media, Manufacturing and processing, Policy and governance, Professional and technical services (including legal services, architecture, engineering)","150 Research Lane, Guelph, ON, N1G 4T2, Canada",University of Guelph,43.5222827,-80.22812449999999
Data Science Laboratory,"Aerospace and satellites, Defence and security industries, Energy, Environmental technologies and related services, Financial services and insurance, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","Eric Palin Hall, 232, Toronto, ON, M5B 2K3, Canada",Toronto Metropolitan University,43.6598227,-79.37777729999999
Decision Analytics for Computational Engineering,"Aerospace and satellites, Automotive, Environmental technologies and related services, Manufacturing and processing","4925 Dufferin Street, Toronto, ON, M3H 5T6, Canada",University of Toronto,43.78193630000001,-79.46546649999999
Desaulniers Research Group (gene expression),"Chemical industries, Life sciences, pharmaceuticals and medical equipment","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
"Development, Context, and Communication Lab","Education, Healthcare and social services, Policy and governance","55 Bond Street East, Oshawa, ON, L1G 1B2, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.89862919999999,-78.8621216
Developmental Systems Neuroscience (DevSneuro) Lab,"Life sciences, pharmaceuticals and medical equipment","1265 Military Trail, Science Wing, Room SW332, Toronto, ON, M1C 1A4, Canada",University of Toronto,43.7825961,-79.1852302
Device Development Lab,"Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","2075 Bayview Avenue M7-122, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre,43.7217772,-79.3759788
Diesel Emissions Laboratory - CanmetMINING,"Automotive, Clean technology, Energy, Environmental technologies and related services, Mining, minerals and metals","1 Haanel Drive - Building 9, Ottawa, ON, K1A 1M1, Canada",Natural Resources Canada,45.320407,-75.867149
Digital Culture and Media Lab (Decimal Lab),"Arts and cultural industries, Education, Information and communication technologies and media, Policy and governance","55 Bond Street, Oshawa, ON, L1G 1B2, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.89862919999999,-78.8621216
Digital High-Speed Optical Imaging Facility,"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Mining, minerals and metals","GB313; 35 Saint George St., Toronto, ON, M5S 1A4, Canada",University of Toronto,43.6502291,-79.3701976
Digital Tools in Music Education,Education,"511 Union St., Kingston, ON, K7M 5R7, Canada",Queen's University,44.2241074,-76.51418679999999
Digital Transformation Lab (DTL),"Information and communication technologies and media, Professional and technical services (including legal services, architecture, engineering)","1457 London Rd., Sarnia, ON, N7S 6K2, Canada",Lambton College,42.9756753,-82.347284
Distributed and Collaborative Virtual Environments Research (DISCOVER) Laboratory,Information and communication technologies and media,"800 King Edward Avenue, Ottawa, ON, K1N 6N5, Canada",University of Ottawa,45.4193024,-75.6786633
Donnelly Centre for Cellular + Biomolecular Research,"Life sciences, pharmaceuticals and medical equipment","The Donnelly Centre, 160 College Street, Toronto, ON, M5S 3E1, Canada",University of Toronto,43.6600669,-79.39307269999999
Dr. Pawliszyn’s Research Group (Analytical Chemistry),"Agriculture, animal science and food, Clean technology, Environmental technologies and related services, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","200 University Avenue West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo,43.471643,-80.5408362
Drinking Water Research Group,"Clean technology, Environmental technologies and related services","35 St. George Street, Toronto, ON, M5S 1A4, Canada",University of Toronto,43.6502291,-79.3701976
Drug Development Program (DDP) Histology and Biomarker Laboratory,"Life sciences, pharmaceuticals and medical equipment","610 University Avenue, Toronto, ON, M5G 2M9, Canada",University Health Network,43.6581169,-79.3907253
Duncan Memory Lab,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","Sidney Smith Hall, Toronto, ON, M5S 3G3, Canada",University of Toronto,43.662523,-79.39854249999999
Ecohydrology Research Group,"Agriculture, animal science and food, Education, Environmental technologies and related services, Information and communication technologies and media, Management and business related services, Policy and governance, Professional and technical services (including legal services, architecture, engineering)","200 University Ave. W., Waterloo, ON, N2L 3G1, Canada",University of Waterloo,43.471643,-80.5408362
Ecosystem Risk Management – CanmetMINING,"Environmental technologies and related services, Mining, minerals and metals","555 Booth Street, Ottawa, ON, K1A 0G1, Canada",Natural Resources Canada,45.4024061,-75.7060068
Educational Informatics Laboratory (EILab),"Arts and cultural industries, Consumer durables, Consumer non-durables, Education, Environmental technologies and related services, Healthcare and social services, Information and communication technologies and media, Management and business related services, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","11 Simcoe St. N., Oshawa, ON, L1H 7L7, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.8979919,-78.8636101
EEG and Neuroimaging Laboratory,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
Element and Heavy Isotope Analytical Laboratories - GLIER,"Energy, Environmental technologies and related services, Fisheries and aquaculture, Manufacturing and processing, Mining, minerals and metals","2990 Riverside Drive West, Windsor, ON, N9B 3P4, Canada",University of Windsor,42.3080393,-83.0740761
Embedded and FPGA-Based System Design Research Lab,"Aerospace and satellites, Automotive, Defence and security industries, Education, Information and communication technologies and media, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","Department of Electrical and Computer Engineering, Windsor, ON, N9B 3P4, Canada",University of Windsor,42.3174005,-83.0354335
ENCORE Lab,"Education, Information and communication technologies and media","252 Bloor St. West, Toronto, ON, M5S 1V6, Canada",University of Toronto,43.668313,-79.3990818
Engineering Laboratory,"Aerospace and satellites, Transportation","1901 Research Private, Ottawa, ON, K1V 2B1, Canada",Transportation Safety Board of Canada,45.3257583,-75.6676122
Environmental Ergonomics Laboratory (EEL),"Consumer durables, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","500 Glenridge Ave., St. Catharines, ON, L2S 3A1, Canada",Brock University,43.1186437,-79.2482463
Environmental Genomics Facility (EGF) - GLIER,"Environmental technologies and related services, Fisheries and aquaculture, Ocean industries","2990 Riverside Drive West, Windsor, ON, N9C 1A2, Canada",University of Windsor,42.3080393,-83.0740761
ePOWER (Queen’s Centre for Energy and Power Electronics Research),"Aerospace and satellites, Automotive, Clean technology, Energy, Information and communication technologies and media","19 Union Street, Kingston, ON, K7L 3N6, Canada",Queen's University,44.2279924,-76.4916987
Exercise Oncology Lab (EOL),"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","55 Harbord Street, Toronto, ON, M5S 2W6, Canada",University of Toronto,43.662726,-79.4012929
FARE Laboratory for Experimental and Applied Economics,"Agriculture, animal science and food, Clean technology, Consumer durables, Consumer non-durables, Energy, Environmental technologies and related services, Fisheries and aquaculture, Policy and governance, Tourism and hospitality","50 Stone Road East, Guelph, ON, N1G 2W1, Canada",University of Guelph,43.5290504,-80.2287845
Felt Lab,"Arts and cultural industries, Education, Information and communication technologies and media, Management and business related services, Tourism and hospitality","1440 King St. N., St. Jacobs, ON, N0B 2N0, Canada",University of Waterloo,43.5405898,-80.5527659
Femtosecond electron diffraction,"Chemical industries, Education, Energy, Life sciences, pharmaceuticals and medical equipment","Lash Miller Building, Room 24580 St. George Street, Toronto, ON, M5S 3H6, Canada",University of Toronto,43.66178439999999,-79.3977525
Finance Laboratory,"Financial services and insurance, Information and communication technologies and media, Management and business related services","2000 Simcoe Street North, North Oshawa, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
Fire Safety Testing Facility,"Automotive, Chemical industries, Construction (including building, civil engineering, specialty trades), Consumer durables, Consumer non-durables, Defence and security industries, Energy, Forestry and forest-based industries, Manufacturing and processing, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada,45.4460011,-75.6195559
Fish Ecology and Conservation Physiology Laboratory,Fisheries and aquaculture,"4440 CTTC Building, 1125 Colonel By Dr., Ottawa, ON, K1S 5B6, Canada",Carleton University,45.3845223,-75.6936286
Flow Cytometry and Virometry Core Facility,"Agriculture, animal science and food, Defence and security industries, Environmental technologies and related services, Fisheries and aquaculture, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa,45.4022554,-75.6501784
Flow Cytometry Core Facility - Centre for Biologics Evaluation,"Life sciences, pharmaceuticals and medical equipment","Frederick G Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada,45.4048101,-75.741801
Fluid-Structure Interaction and Noise Control Laboratory (FSIANCL),"Aerospace and satellites, Automotive, Clean technology, Defence and security industries, Energy, Fisheries and aquaculture, Manufacturing and processing, Mining, minerals and metals, Ocean industries, Transportation","2000 Simcoe Street North, Oshawa, ON, L1H 7K4, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9458,-78.8946
Focused Ultrasound (FUS) Lab,"Life sciences, pharmaceuticals and medical equipment","2075 Bayview Avenue, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre,43.7217772,-79.3759788
Food and Beverage Innovation Centre (FBIC),"Agriculture, animal science and food, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering), Tourism and hospitality","135 Taylor Rd, S. S. #4, Niagara-on-the-Lake, ON, L0S 1J0, Canada",Niagara College,43.1581712,-79.1734151
Food Innovation and Research Studio (FIRSt),"Agriculture, animal science and food, Consumer non-durables","215 King St. E, 4th Floor, Toronto, ON, M5A1J9, Canada",George Brown College,43.6508508,-79.3691491
Functional and Adaptive Surfaces Group,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","Wallberg Building, Toronto, ON, M5S3E4, Canada",University of Toronto,43.6591675,-79.3952485
Gait Lab,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","50 Charlton Ave E, Hamilton, ON, L8N 4A6, Canada",St. Joseph's Healthcare Hamilton,43.2487042,-79.8709837
Gallagher Drama Research Lab,"Arts and cultural industries, Education, Policy and governance","252 Bloor Street West, Toronto, ON, M5S 1V6, Canada",University of Toronto,43.668313,-79.3990818
Gas Turbine Research Facilities,"Aerospace and satellites, Clean technology, Defence and security industries, Energy, Environmental technologies and related services, Forestry and forest-based industries, Transportation, Utilities","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada,45.4460011,-75.6195559
Gastrointestinal Diseases Research Unit (GIDRU),"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","76 Stuart Street, Kingston, ON, K7L 2V7, Canada",Queen's University,44.2243418,-76.4926411
Gene-Environment Interplay Research Laboratory,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Policy and governance","Earth Sciences Building, 25 Willcocks St, Toronto, ON, M5S 3B2, Canada",University of Toronto,43.6615248,-79.39964189999999
Geochemistry Laboratory,"Agriculture, animal science and food, Chemical industries, Clean technology, Construction (including building, civil engineering, specialty trades), Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Ocean industries","Advanced Research Complex (ARC), Room 435,25 Templeton Street, Ottawa, ON, K1N 6N5, Canada",University of Ottawa,45.4208627,-75.67874119999999
GeoEngineering Laboratory,"Construction (including building, civil engineering, specialty trades)","950 Johnson Street, Kingston, ON, K7L 3N6, Canada",Queen's University,44.2301874,-76.51704889999999
GeoEngineering Research Group (GRG),"Construction (including building, civil engineering, specialty trades), Environmental technologies and related services, Professional and technical services (including legal services, architecture, engineering), Transportation, Utilities","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University,45.38146159999999,-75.69917389999999
Gilbert Experimental Spatial Ecology Laboratory,"Agriculture, animal science and food, Fisheries and aquaculture","Earth Sciences, 33 Willcocks Street, Toronto, ON, M5S 3B5, Canada",University of Toronto,43.661433,-79.3999663
Gilbert Lab,"Life sciences, pharmaceuticals and medical equipment","Donnelly Centre for Cellular and Biomolecular Research,160 College Street, Toronto, ON, M5S 3E1, Canada",University of Toronto,43.6600669,-79.39307269999999
Glass Washing and Sterilization Services,"Agriculture, animal science and food, Chemical industries, Fisheries and aquaculture, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","101 College Street, Toronto, ON, M5G 1L7, Canada",University Health Network,43.6598399,-79.3880784
Glow Discharge Mass Spectrometry (GD-MS) facility,"Aerospace and satellites, Chemical industries, Clean technology, Defence and security industries, Energy, Environmental technologies and related services, Healthcare and social services, Manufacturing and processing, Mining, minerals and metals, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada,45.4460011,-75.6195559
Green Homes,"Clean technology, Construction (including building, civil engineering, specialty trades), Consumer durables, Consumer non-durables, Energy, Environmental technologies and related services, Manufacturing and processing","160 Kendal Avenue, Toronto, ON, M5A 0B6, Canada",George Brown College,43.6757108,-79.4107835
Ground Control Laboratory – CanmetMINING,"Construction (including building, civil engineering, specialty trades), Mining, minerals and metals, Professional and technical services (including legal services, architecture, engineering)","1 Haanel Drive, Ottawa, ON, K1A 1M1, Canada",Natural Resources Canada,45.320407,-75.867149
Guelph Selection Lab,Management and business related services,"50 Stone Road E., Guelph, ON, N1G 2W1, Canada",University of Guelph,43.5290504,-80.2287845
Guided Therapeutics Program (GTx),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","200 Elizabeth St., Toronto, ON, M5G 2C4, Canada",University Health Network,43.65960760000001,-79.3880136
Health and Human Performance Laboratory,"Life sciences, pharmaceuticals and medical equipment","31 Founders Drive, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9445197,-78.8957307
Heavy Vehicle Structural Dynamics Laboratory,"Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Transportation","2320 Lester Road, Ottawa, ON, K1V 1S2, Canada",National Research Council Canada,45.3295639,-75.6482225
Heavy Vehicle Tilt Research Facilities,"Automotive, Defence and security industries, Transportation","2320 Lester Road, Ottawa, ON, K1V 1S2, Canada",National Research Council Canada,45.3295639,-75.6482225
High Pressure Processing Facility,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","Sir Frederick G. Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada,45.4048101,-75.741801
High Temperature Materials Research Facility,"Aerospace and satellites, Automotive, Defence and security industries, Energy, Manufacturing and processing, Mining, minerals and metals, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada,45.4460011,-75.6195559
High-Pressure Hydrogenation Laboratory,"Chemical industries, Clean technology, Energy, Manufacturing and processing, Mining, minerals and metals","Summerlee Science Complex, Gordon Street, Guelph, ON, N1G 2W1, Canada",University of Guelph,43.5308012,-80.2285897
High-Throughput Experimentation Core Facility,"Chemical industries, Clean technology, Education, Energy, Forestry and forest-based industries","30 Marie-Curie, Ottawa, ON, K1N 6N5, Canada",University of Ottawa,45.4211062,-75.68116719999999
Hildebrand Pain Lab (spinal mechanisms of pain processing),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University,45.38146159999999,-75.69917389999999
Host-Microbiome Research Network,"Life sciences, pharmaceuticals and medical equipment","MSB 1 King’s College Circle, Toronto, ON, M5S 1A8, Canada",University of Toronto,43.6605548,-79.3930796
Human and Environmental Physiology Research Unit (HEPRU),"Clean technology, Construction (including building, civil engineering, specialty trades), Defence and security industries, Environmental technologies and related services, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Ocean industries, Policy and governance, Tourism and hospitality, Transportation, Utilities","125 University Private, Ottawa, ON, K1N 6N5, Canada",University of Ottawa,45.4224233,-75.6826952
Human Factors and Applied Statistics Laboratory (HFAST),"Automotive, Information and communication technologies and media, Transportation","Rosebrugh Building, Rm 313,164 College Street, Toronto, ON, M5S 3G8, Canada",University of Toronto,43.6600101,-79.3931363
Human Machine Lab,Information and communication technologies and media,"40 Conlin Road, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9477084,-78.8992069
Human Mobility Research Centre,"Education, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","76 Stuart Street, Kingston, ON, K7L 2V7, Canada",Queen's University,44.2243418,-76.4926411
Human Mobility Research Lab (HMRL),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","166 Brock St., Kingston, ON, K7L5G2, Canada",Queen's University,44.2308656,-76.486077
Human Neurophysiology and Rehabilitation Laboratory,"Life sciences, pharmaceuticals and medical equipment","31 Founders Drive, Oshawa, ON, L1G 7W1, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9445197,-78.8957307
Human Pluripotent Stem Cell Facility (HPSCF),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","501 Smyth Road, Ottawa, ON, K1H 8L6, Canada",The Ottawa Hospital,45.40100899999999,-75.6477007
Human-Centered Computing (HCC) Lab,"Education, Information and communication technologies and media, Professional and technical services (including legal services, architecture, engineering)","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
Imaging Research Centre (IRC),"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","50 Charlton Avenue East, Hamilton, ON, L8N 4A6, Canada",St. Joseph's Healthcare Hamilton,43.2487042,-79.8709837
Inclusive Design Institute,"Arts and cultural industries, Consumer durables, Consumer non-durables, Education, Financial services and insurance, Healthcare and social services, Information and communication technologies and media, Management and business related services, Manufacturing and processing, Policy and governance, Professional and technical services (including legal services, architecture, engineering), Tourism and hospitality, Transportation","205 Richmond Street West, 2nd Floor, Toronto, ON, M5V 1V3, Canada",Ontario College of Art and Design University (OCAD University),43.6493937,-79.38868149999999
Infrastructure for the Purification and Chemical Biological Antibacterial and Antifungal Compounds,"Life sciences, pharmaceuticals and medical equipment","MaRS 661 University Avenue, Toronto, ON, M5G 1M1, Canada",University of Toronto,43.659064,-79.3892127
InnovaCité BIOlab,"Agriculture, animal science and food, Chemical industries, Clean technology, Consumer durables, Life sciences, pharmaceuticals and medical equipment","801, Aviation Parkway, Ottawa, ON, K1K 4R3, Canada",Collège La Cité,45.43563,-75.6345336
InnovaCité GÉNIElab,"Healthcare and social services, Information and communication technologies and media, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering), Transportation","801 Aviation Parkway, Ottawa, ON, K1K 4R3, Canada",Collège La Cité,45.43563,-75.6345336
Innovation Policy Lab Database,"Information and communication technologies and media, Management and business related services, Policy and governance","Munk School of Global Affairs and Public Policy, Toronto, ON, M5S 3K7, Canada",University of Toronto,43.6647264,-79.3964854
"Innovation, Digital spaces, Equity, and Access Studies in STEAM (Ideass) Lab","Education, Information and communication technologies and media, Management and business related services, Professional and technical services (including legal services, architecture, engineering)","61 Charles St., Oshawa, ON, L1H 4X8, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.8974094,-78.857935
INSPIRE Core Facility,"Arts and cultural industries, Defence and security industries, Education, Healthcare and social services, Information and communication technologies and media, Management and business related services, Policy and governance","136 Jean-Jacques Lussier, Ottawa, ON, K1N 6N5, Canada",University of Ottawa,45.4213153,-75.68284489999999
Institute for Disability and Rehabilitation Research (IDRR),"Financial services and insurance, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Policy and governance","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
Instrumented Wheelsets for Rail Cars,Transportation,"2320 Lester Road, Ottawa, ON, K1V 1S2, Canada",National Research Council Canada,45.3295639,-75.6482225
Integrated Nanotechnology and Biomedical Sciences Laboratory (INBS),"Agriculture, animal science and food, Chemical industries, Defence and security industries, Education, Energy, Environmental technologies and related services, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","CCBR, 160 College Street, Toronto, ON, M5S 3E1, Canada",University of Toronto,43.6600669,-79.39307269999999
Integrated Quantum Optoelectronics Lab (IQOL),"Defence and security industries, Education, Information and communication technologies and media","200 University Avenue West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo,43.471643,-80.5408362
Integrative Metabolism and Body Composition Lab,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","200 University Avenue West, BMH 0603, Waterloo, ON, N2L 3G1, Canada",University of Waterloo,43.47306589999999,-80.5450604
Intelligent Fuels and Energy Laboratory (I-FuELs),Energy,"401 Sunset Avenue, Windsor, ON, N9B 3P4, Canada",University of Windsor,42.3072327,-83.0670514
Intelligent Manufacturing Systems (IMS) Centre,"Automotive, Education, Manufacturing and processing","Ed Lumley Centre for Engineering Innovation (CEI), Windsor, ON, N9B 3P4, Canada",University of Windsor,42.304779,-83.0621261
Interfacial Technologies Characterization Laboratory,"Chemical industries, Healthcare and social services","1280 Main St West, Hamilton, ON, L8S 4L7, Canada",McMaster University,43.2613739,-79.9210947
Internet of Things Research Laboratory,"Aerospace and satellites, Agriculture, animal science and food, Automotive, Construction (including building, civil engineering, specialty trades), Education, Environmental technologies and related services, Information and communication technologies and media, Policy and governance, Transportation, Utilities","SIRC Building, 40 Conlin Rd., Oshawa, ON, L1H 7K4, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9478236,-78.898731
Interprofessional Health Technology Development and Assessment,"Education, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","51 Dockside Drive, Toronto, ON, M5R 1M3, Canada",George Brown College,43.64407019999999,-79.3654865
Iovate/MuscleTech Metabolism and Sports Science Lab,"Agriculture, animal science and food, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment","100 Devonshire Place, Toronto, ON, M5S 2C9, Canada",University of Toronto,43.6668989,-79.3982204
Jack and Nora Walker Canadian Centre for Lifespan Development Research,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","500 Glenridge Ave, St. Catharines, ON, L2S 3A1, Canada",Brock University,43.1186437,-79.2482463
Ján Veizer Stable Isotope Laboratory,"Agriculture, animal science and food, Chemical industries, Construction (including building, civil engineering, specialty trades), Consumer non-durables, Defence and security industries, Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Ocean industries, Professional and technical services (including legal services, architecture, engineering)","25 Templeton Street, Ottawa, ON, K1N 6N5, Canada",University of Ottawa,45.42095620000001,-75.678484
"Jessop Group, Department of Chemistry","Chemical industries, Clean technology, Energy","90 Bader Lane, Kingston, ON, K7L 3N6, Canada",Queen's University,44.2242464,-76.4989143
John L. Holmes Mass Spectrometry Facility,"Aerospace and satellites, Agriculture, animal science and food, Automotive, Chemical industries, Education, Energy, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Ocean industries","10 Marie-Curie, Ottawa, ON, K1N 6N5, Canada",University of Ottawa,45.42095560000001,-75.6813061
Joint Research Centre in AI for Health and Wellness (AI4HW),"Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
Jurisica Lab - Data Science Discovery Centre for Chronic Diseases,"Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","60 Leonard Avenue, Toronto, ON, M5T 0S8, Canada",University Health Network,43.6542469,-79.40522709999999
Kaul lab mucosal immunology facility,"Life sciences, pharmaceuticals and medical equipment","1 King's College Circle, Toronto, ON, M5S1A8, Canada",University of Toronto,43.66080059999999,-79.3935011
Lab for Image Guided Medical Procedures,,"1125 Colonel By Dr., Herzberg Building 2326, Ottawa, ON, K1S 5B6, Canada",Carleton University,45.38146159999999,-75.69917389999999
Laboratory for Aptamer Discovery and Development of Emerging Research (LADDER),"Agriculture, animal science and food, Chemical industries, Defence and security industries, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","311 Steacie Building,1125 Colonel By Drive, Ottawa, ON, K1S5B6, Canada",Carleton University,45.3827824,-75.6969012
Laboratory for Atmospheric Organics,"Clean technology, Environmental technologies and related services, Healthcare and social services, Policy and governance, Transportation","Wallberg Building, 200 College St., Toronto, ON, M5S 3E5, Canada",University of Toronto,43.6591675,-79.3952485
Laboratory for Chemical Synthesis and Characterization,"Chemical industries, Clean technology, Energy, Environmental technologies and related services, Manufacturing and processing","80 St George St, Toronto, ON, M5S 3H6, Canada",University of Toronto,43.6616258,-79.39825640000001
